time, current (A), voltage (V), resistance (Ohms) (est.), velocity (mph) (est.)
1.0, 0.07, 12.48, 10.64, 1.03
1.6, 3.11, 12.48, 11.26, 6.00
1.9, 41.81, 11.21, 21.15, 24.96
2.1, 25.38, 11.53, 17.46, 36.46
3.0, 12.47, 11.83, 17.46, 36.46
4.0, 12.32, 11.83, 16.41, 36.46
5.0, 12.09, 11.83, 16.08, 36.46
6.0, 11.89, 11.83, 16.08, 38.75
7.0, 12.02, 11.82, 16.08, 38.75
8.0, 11.95, 11.81, 16.08, 38.75
9.0, 11.90, 11.80, 16.08, 38.75
10.0, 11.86, 11.80, 16.08, 38.94
11.0, 11.84, 11.79, 16.08, 38.94
12.0, 11.76, 11.78, 16.08, 38.94
13.0, 11.69, 11.78, 16.08, 38.94
14.0, 11.69, 11.77, 16.08, 38.94
15.0, 11.65, 11.77, 16.08, 36.00
16.0, 11.64, 11.76, 16.08, 36.00
17.0, 11.61, 11.76, 16.08, 21.55
18.0, 0.20, 12.31, 11.36, 5.91
18.5, 0.10, 12.37, 10.62, 0.27
