Date, Time, Lat, Lon, Speed Data (miles/hour), Elevation (m)
2025-02-03, 19:01:40, 45.57219146495826, -122.72749936915245, 0.69, 53.09
2025-02-03, 19:01:51, 45.572137800164654, -122.72757014371243, 1.39, 53.10
2025-02-03, 19:01:57, 45.57225341346164, -122.72759606568714, 0.00, 53.11
2025-02-03, 19:02:00, 45.57226705275528, -122.7276697492733, 0.34, 52.93
2025-02-03, 19:02:04, 45.572250729295256, -122.72775128275842, 0.39, 53.26
2025-02-03, 19:02:09, 45.572212322641, -122.72769242830954, 0.23, 54.37
2025-02-03, 19:02:12, 45.57219730555913, -122.7276296243431, 8.77, 53.81
2025-02-03, 19:02:14, 45.572224571959126, -122.72753350184081, 13.21, 53.39
2025-02-03, 19:02:16, 45.57223261749101, -122.72741148896071, 13.52, 53.54
2025-02-03, 19:02:18, 45.57225939310358, -122.72726430732564, 14.13, 53.97
2025-02-03, 19:02:19, 45.57227946081134, -122.72718411945472, 14.08, 54.19
2025-02-03, 19:02:20, 45.57230623685261, -122.72709034832347, 14.03, 52.88
2025-02-03, 19:02:22, 45.57231704128552, -122.72702616390349, 2.60, 52.35
2025-02-03, 19:02:24, 45.57225198869186, -122.7270394374887, 7.54, 52.59
2025-02-03, 19:02:25, 45.57220667799669, -122.72705199452095, 7.05, 52.98
2025-02-03, 19:02:27, 45.5721304148966, -122.72706689274145, 9.14, 53.75
2025-02-03, 19:02:28, 45.57208590710779, -122.72706697896191, 10.64, 53.87
2025-02-03, 19:02:29, 45.57203301975485, -122.72706106351782, 10.64, 54.17
2025-02-03, 19:02:30, 45.57199422541494, -122.72707149243922, 9.74, 53.06
2025-02-03, 19:02:31, 45.57195410680381, -122.72708087328333, 9.82, 53.36
2025-02-03, 19:02:32, 45.57190834012852, -122.72709597721519, 11.45, 53.51
2025-02-03, 19:02:34, 45.571905663083825, -122.72716240485641, 7.72, 54.17
2025-02-03, 19:02:35, 45.57192442352109, -122.72722704674031, 11.83, 52.96
2025-02-03, 19:02:36, 45.57194102923108, -122.72730210320357, 13.31, 52.45
2025-02-03, 19:02:37, 45.571960726853085, -122.72737535108176, 13.52, 51.73
2025-02-03, 19:02:38, 45.571980416634545, -122.7274527430239, 14.31, 51.70
2025-02-03, 19:02:39, 45.57201427949661, -122.7275507800833, 16.15, 51.05
2025-02-03, 19:02:40, 45.57203879906188, -122.72764627291872, 13.84, 50.79
2025-02-03, 19:02:41, 45.572046907079645, -122.72769759167026, 6.01, 48.53
2025-02-03, 19:02:58, 45.57202553099147, -122.72766593500756, 0.64, 55.05
